Word;lemme;cgram;infover
a;avoir;VER;"ind:pre:3s;"
abaissa;abaisser;VER;"ind:pas:3s;"
abaissai;abaisser;VER;"ind:pas:1s;"
abaissaient;abaisser;VER;"ind:imp:3p;"
abaissait;abaisser;VER;"ind:imp:3s;"
abaissant;abaisser;VER;"par:pre;"
abaisse;abaisser;VER;"imp:pre:2s;ind:pre:1s;ind:pre:3s;"
abaissent;abaisser;VER;"ind:pre:3p;"
abaisser;abaisser;VER;"inf;"
abaissera;abaisser;VER;"ind:fut:3s;"
abaisserai;abaisser;VER;"ind:fut:1s;"
abaisseraient;abaisser;VER;"cnd:pre:3p;"
abaisserais;abaisser;VER;"cnd:pre:1s;cnd:pre:2s;"
abaisserait;abaisser;VER;"cnd:pre:3s;"
abaisses;abaisser;VER;"ind:pre:2s;"
abaissez;abaisser;VER;"imp:pre:2p;ind:pre:2p;"
abaissons;abaisser;VER;"imp:pre:1p;"
abaissèrent;abaisser;VER;"ind:pas:3p;"
abaissé;abaisser;VER;"par:pas;"
abaissée;abaisser;VER;"par:pas;"
abaissées;abaisser;VER;"par:pas;"
abaissés;abaisser;VER;"par:pas;"
abandonna;abandonner;VER;"ind:pas:3s;"
abandonnai;abandonner;VER;"ind:pas:1s;"
abandonnaient;abandonner;VER;"ind:imp:3p;"
abandonnais;abandonner;VER;"ind:imp:1s;ind:imp:2s;"
abandonnait;abandonner;VER;"ind:imp:3s;"
abandonnant;abandonner;VER;"par:pre;"
abandonnas;abandonner;VER;"ind:pas:2s;"
abandonne;abandonner;VER;"imp:pre:2s;ind:pre:1s;ind:pre:3s;sub:pre:3s;"
abandonnent;abandonner;VER;"ind:pre:3p;sub:pre:3p;"
abandonner;abandonner;VER;"ind:pre:2p;inf;"
abandonnera;abandonner;VER;"ind:fut:3s;"
abandonnerai;abandonner;VER;"ind:fut:1s;"
abandonneraient;abandonner;VER;"cnd:pre:3p;"
abandonnerais;abandonner;VER;"cnd:pre:1s;cnd:pre:2s;"
abandonnerait;abandonner;VER;"cnd:pre:3s;"
abandonneras;abandonner;VER;"ind:fut:2s;"
abandonnerez;abandonner;VER;"ind:fut:2p;"
abandonneriez;abandonner;VER;"cnd:pre:2p;"
abandonnerions;abandonner;VER;"cnd:pre:1p;"
abandonnerons;abandonner;VER;"ind:fut:1p;"
abandonneront;abandonner;VER;"ind:fut:3p;"
abandonnes;abandonner;VER;"ind:pre:2s;sub:pre:2s;"
abandonnez;abandonner;VER;"imp:pre:2p;ind:pre:2p;"
abandonniez;abandonner;VER;"ind:imp:2p;"
abandonnions;abandonner;VER;"ind:imp:1p;"
abandonnons;abandonner;VER;"imp:pre:1p;ind:pre:1p;"
abandonnâmes;abandonner;VER;"ind:pas:1p;"
abandonnât;abandonner;VER;"sub:imp:3s;"
abandonnèrent;abandonner;VER;"ind:pas:3p;"
abandonné;abandonner;VER;"par:pas;"
abandonnée;abandonner;VER;"par:pas;"
abandonnées;abandonner;VER;"par:pas;"
abandonnés;abandonner;VER;"par:pas;"
abasourdi;abasourdir;VER;"par:pas;"
abasourdie;abasourdir;VER;"par:pas;"
abasourdir;abasourdir;VER;"inf;"
abasourdis;abasourdir;VER;"par:pas;"
abat;abattre;VER;"ind:pre:3s;"
abats;abattre;VER;"imp:pre:2s;ind:pre:1s;ind:pre:2s;"
abattaient;abattre;VER;"ind:imp:3p;"
abattais;abattre;VER;"ind:imp:1s;"
abattait;abattre;VER;"ind:imp:3s;"
abattant;abattre;VER;"par:pre;"
abatte;abattre;VER;"sub:pre:1s;sub:pre:3s;"
abattent;abattre;VER;"ind:pre:3p;"
abattes;abattre;VER;"sub:pre:2s;"
abattez;abattre;VER;"imp:pre:2p;ind:pre:2p;"
abattiez;abattre;VER;"ind:imp:2p;"
abattions;abattre;VER;"ind:imp:1p;"
abattirent;abattre;VER;"ind:pas:3p;"
abattis;abattre;VER;"ind:pas:1s;"
abattit;abattre;VER;"ind:pas:3s;"
abattons;abattre;VER;"imp:pre:1p;ind:pre:1p;"
abattra;abattre;VER;"ind:fut:3s;"
abattrai;abattre;VER;"ind:fut:1s;"
abattraient;abattre;VER;"cnd:pre:3p;"
abattrais;abattre;VER;"cnd:pre:1s;cnd:pre:2s;"
abattrait;abattre;VER;"cnd:pre:3s;"
abattras;abattre;VER;"ind:fut:2s;"
abattre;abattre;VER;"inf;"
abattrez;abattre;VER;"ind:fut:2p;"
abattriez;abattre;VER;"cnd:pre:2p;"
abattrons;abattre;VER;"ind:fut:1p;"
abattront;abattre;VER;"ind:fut:3p;"
abattu;abattre;VER;"par:pas;"
abattue;abattre;VER;"par:pas;"
abattues;abattre;VER;"par:pas;"
abattus;abattre;VER;"par:pas;"
abdiqua;abdiquer;VER;"ind:pas:3s;"
abdiquai;abdiquer;VER;"ind:pas:1s;"
abdiquaient;abdiquer;VER;"ind:imp:3p;"
abdiquais;abdiquer;VER;"ind:imp:1s;"
abdiquait;abdiquer;VER;"ind:imp:3s;"
abdiquant;abdiquer;VER;"par:pre;"
abdique;abdiquer;VER;"imp:pre:2s;ind:pre:1s;ind:pre:3s;"
abdiquer;abdiquer;VER;"inf;"
abdiquera;abdiquer;VER;"ind:fut:3s;"
abdiquerais;abdiquer;VER;"cnd:pre:1s;"
abdiquerait;abdiquer;VER;"cnd:pre:3s;"
abdiquez;abdiquer;VER;"imp:pre:2p;ind:pre:2p;"
abdiqué;abdiquer;VER;"par:pas;"
abdiquée;abdiquer;VER;"par:pas;"
aberrant;aberrer;VER;"par:pre;"
abhorrais;abhorrer;VER;"ind:imp:1s;"
abhorrait;abhorrer;VER;"ind:imp:3s;"
abhorrant;abhorrer;VER;"par:pre;"
abhorre;abhorrer;VER;"ind:pre:1s;ind:pre:3s;"
abhorrer;abhorrer;VER;"inf;"
abhorrez;abhorrer;VER;"ind:pre:2p;"
abhorré;abhorrer;VER;"par:pas;"
abhorrée;abhorrer;VER;"par:pas;"
abhorrés;abhorrer;VER;"par:pas;"
abjurant;abjurer;VER;"par:pre;"
abjure;abjurer;VER;"imp:pre:2s;ind:pre:1s;ind:pre:3s;"
abjurer;abjurer;VER;"inf;"
abjurez;abjurer;VER;"imp:pre:2p;ind:pre:2p;"
abjurons;abjurer;VER;"ind:pre:1p;"
abjuré;abjurer;VER;"par:pas;"
aboie;aboyer;VER;"imp:pre:2s;ind:pre:1s;ind:pre:3s;"
aboient;aboyer;VER;"ind:pre:3p;"
aboiera;aboyer;VER;"ind:fut:3s;"
aboierait;aboyer;VER;"cnd:pre:3s;"
aboieront;aboyer;VER;"ind:fut:3p;"
aboies;aboyer;VER;"ind:pre:2s;"
aboli;abolir;VER;"par:pas;"
abolie;abolir;VER;"par:pas;"
abolies;abolir;VER;"par:pas;"
abolir;abolir;VER;"inf;"
abolira;abolir;VER;"ind:fut:3s;"
abolirait;abolir;VER;"cnd:pre:3s;"
aboliras;abolir;VER;"ind:fut:2s;"
abolis;abolir;VER;"ind:pre:1s;par:pas;"
abolissaient;abolir;VER;"ind:imp:3p;"
abolissais;abolir;VER;"ind:imp:1s;"
abolissait;abolir;VER;"ind:imp:3s;"
abolissant;abolir;VER;"par:pre;"
abolissent;abolir;VER;"ind:pre:3p;"
abolissions;abolir;VER;"ind:imp:1p;"
abolissons;abolir;VER;"imp:pre:1p;ind:pre:1p;"
abolit;abolir;VER;"ind:pre:3s;ind:pas:3s;"
abominaient;abominer;VER;"ind:imp:3p;"
abomine;abominer;VER;"ind:pre:1s;ind:pre:3s;"
abominer;abominer;VER;"inf;"
abonda;abonder;VER;"ind:pas:3s;"
abondai;abonder;VER;"ind:pas:1s;"
abondaient;abonder;VER;"ind:imp:3p;"
abondais;abonder;VER;"ind:imp:1s;"
abondait;abonder;VER;"ind:imp:3s;"
abondant;abonder;VER;"par:pre;"
abondassent;abonder;VER;"sub:imp:3p;"
abonde;abonder;VER;"ind:pre:1s;ind:pre:3s;"
abondent;abonder;VER;"ind:pre:3p;"
abonder;abonder;VER;"inf;"
abondé;abonder;VER;"par:pas;"
abonnai;abonner;VER;"ind:pas:1s;"
abonnant;abonner;VER;"par:pre;"
abonne;abonner;VER;"imp:pre:2s;ind:pre:1s;ind:pre:3s;"
abonner;abonner;VER;"inf;"
abonnez;abonner;VER;"imp:pre:2p;ind:pre:2p;"
abonnât;abonner;VER;"sub:imp:3s;"
abonné;abonner;VER;"par:pas;"
abonnée;abonner;VER;"par:pas;"
abonnées;abonner;VER;"par:pas;"
abonnés;abonner;VER;"par:pas;"
aborda;aborder;VER;"ind:pas:3s;"
abordai;aborder;VER;"ind:pas:1s;"
abordaient;aborder;VER;"ind:imp:3p;"
abordais;aborder;VER;"ind:imp:1s;"
abordait;aborder;VER;"ind:imp:3s;"
abordant;aborder;VER;"par:pre;"
aborde;aborder;VER;"imp:pre:2s;ind:pre:1s;ind:pre:3s;"
abordent;aborder;VER;"ind:pre:3p;"
aborder;aborder;VER;"inf;"
abordera;aborder;VER;"ind:fut:3s;"
aborderai;aborder;VER;"ind:fut:1s;"
aborderaient;aborder;VER;"cnd:pre:3p;"
aborderais;aborder;VER;"cnd:pre:1s;"
aborderait;aborder;VER;"cnd:pre:3s;"
aborderiez;aborder;VER;"cnd:pre:2p;"
aborderions;aborder;VER;"cnd:pre:1p;"
aborderons;aborder;VER;"ind:fut:1p;"
aborderont;aborder;VER;"ind:fut:3p;"
abordes;aborder;VER;"ind:pre:2s;"
abordez;aborder;VER;"imp:pre:2p;ind:pre:2p;"
abordiez;aborder;VER;"ind:imp:2p;"
abordions;aborder;VER;"ind:imp:1p;"
abordons;aborder;VER;"imp:pre:1p;ind:pre:1p;"
abordâmes;aborder;VER;"ind:pas:1p;"
abordèrent;aborder;VER;"ind:pas:3p;"
abordé;aborder;VER;"par:pas;"
abordée;aborder;VER;"par:pas;"
abordées;aborder;VER;"par:pas;"
abordés;aborder;VER;"par:pas;"
abouchaient;aboucher;VER;"ind:imp:3p;"
abouchais;aboucher;VER;"ind:imp:1s;"
abouchait;aboucher;VER;"ind:imp:3s;"
abouchant;aboucher;VER;"par:pre;"
aboucher;aboucher;VER;"inf;"
abouché;aboucher;VER;"par:pas;"
abouchée;aboucher;VER;"par:pas;"
abouchés;aboucher;VER;"par:pas;"
aboule;abouler;VER;"imp:pre:2s;ind:pre:3s;"
abouler;abouler;VER;"inf;"
aboules;abouler;VER;"ind:pre:2s;"
aboulez;abouler;VER;"imp:pre:2p;"
aboutait;abouter;VER;"ind:imp:3s;"
abouti;aboutir;VER;"par:pas;"
aboutie;aboutir;VER;"par:pas;"
aboutir;aboutir;VER;"inf;"
aboutira;aboutir;VER;"ind:fut:3s;"
aboutirai;aboutir;VER;"ind:fut:1s;"
aboutiraient;aboutir;VER;"cnd:pre:3p;"
aboutirais;aboutir;VER;"cnd:pre:1s;"
aboutirait;aboutir;VER;"cnd:pre:3s;"
aboutiras;aboutir;VER;"ind:fut:2s;"
aboutirent;aboutir;VER;"ind:pas:3p;"
aboutirons;aboutir;VER;"ind:fut:1p;"
aboutiront;aboutir;VER;"ind:fut:3p;"
aboutis;aboutir;VER;"ind:pre:1s;ind:pre:2s;par:pas;"
aboutissaient;aboutir;VER;"ind:imp:3p;"
aboutissait;aboutir;VER;"ind:imp:3s;"
aboutissant;aboutir;VER;"par:pre;"
aboutisse;aboutir;VER;"sub:pre:1s;sub:pre:3s;"
aboutissent;aboutir;VER;"ind:pre:3p;"
aboutissez;aboutir;VER;"ind:pre:2p;"
aboutissiez;aboutir;VER;"ind:imp:2p;"
aboutissions;aboutir;VER;"ind:imp:1p;"
aboutit;aboutir;VER;"ind:pre:3s;ind:pas:3s;"
aboutonnai;aboutonner;VER;"ind:pas:1s;"
aboutons;abouter;VER;"imp:pre:1p;"
aboutîmes;aboutir;VER;"ind:pas:1p;"
aboya;aboyer;VER;"ind:pas:3s;"
aboyaient;aboyer;VER;"ind:imp:3p;"
aboyait;aboyer;VER;"ind:imp:3s;"
aboyant;aboyer;VER;"par:pre;"
aboyer;aboyer;VER;"inf;"
aboyons;aboyer;VER;"ind:pre:1p;"
aboyèrent;aboyer;VER;"ind:pas:3p;"
aboyé;aboyer;VER;"par:pas;"
abracadabré;abracadabrer;VER;"par:pas;"
abrasé;abraser;VER;"par:pas;"
abreuva;abreuver;VER;"ind:pas:3s;"
abreuvaient;abreuver;VER;"ind:imp:3p;"
abreuvait;abreuver;VER;"ind:imp:3s;"
abreuvant;abreuver;VER;"par:pre;"
abreuve;abreuver;VER;"imp:pre:2s;ind:pre:1s;ind:pre:3s;"
abreuvent;abreuver;VER;"ind:pre:3p;"
abreuver;abreuver;VER;"inf;"
abreuvera;abreuver;VER;"ind:fut:3s;"
abreuveraient;abreuver;VER;"cnd:pre:3p;"
abreuvez;abreuver;VER;"imp:pre:2p;ind:pre:2p;"
abreuvons;abreuver;VER;"imp:pre:1p;"
abreuvé;abreuver;VER;"par:pas;"
abreuvée;abreuver;VER;"par:pas;"
abreuvés;abreuver;VER;"par:pas;"
abricotez;abricoter;VER;"imp:pre:2p;"
abrita;abriter;VER;"ind:pas:3s;"
abritai;abriter;VER;"ind:pas:1s;"
abritaient;abriter;VER;"ind:imp:3p;"
abritais;abriter;VER;"ind:imp:1s;"
abritait;abriter;VER;"ind:imp:3s;"
abritant;abriter;VER;"par:pre;"
abrite;abriter;VER;"imp:pre:2s;ind:pre:1s;ind:pre:3s;"
abritent;abriter;VER;"ind:pre:3p;"
abriter;abriter;VER;"inf;;inf;;inf;;"
abritera;abriter;VER;"ind:fut:3s;"
abriterait;abriter;VER;"cnd:pre:3s;"
abriterons;abriter;VER;"ind:fut:1p;"
abriteront;abriter;VER;"ind:fut:3p;"
abrites;abriter;VER;"ind:pre:2s;"
abritez;abriter;VER;"imp:pre:2p;ind:pre:2p;"
abritiez;abriter;VER;"ind:imp:2p;"
abritions;abriter;VER;"ind:imp:1p;"
abritons;abriter;VER;"imp:pre:1p;ind:pre:1p;"
abritâmes;abriter;VER;"ind:pas:1p;"
abritèrent;abriter;VER;"ind:pas:3p;"
abrité;abriter;VER;"par:pas;"
abritée;abriter;VER;"par:pas;"
abritées;abriter;VER;"par:pas;"
abrités;abriter;VER;"par:pas;"
abrogent;abroger;VER;"ind:pre:3p;"
abroger;abroger;VER;"inf;"
abrogé;abroger;VER;"par:pas;"
abrogée;abroger;VER;"par:pas;"
abrogées;abroger;VER;"par:pas;"
abrogés;abroger;VER;"par:pas;"
abruti;abrutir;VER;"par:pas;"
abrutie;abrutir;VER;"par:pas;"
abruties;abrutir;VER;"par:pas;"
abrutir;abrutir;VER;"inf;"
abrutira;abrutir;VER;"ind:fut:3s;"
abrutis;abrutir;VER;"imp:pre:2s;ind:pre:1s;ind:pre:2s;par:pas;"
abrutissaient;abrutir;VER;"ind:imp:3p;"
abrutissais;abrutir;VER;"ind:imp:1s;"
abrutissait;abrutir;VER;"ind:imp:3s;"
abrutissant;abrutir;VER;"par:pre;"
abrutissent;abrutir;VER;"ind:pre:3p;"
abrutissions;abrutir;VER;"ind:imp:1p;"
abrutit;abrutir;VER;"ind:pre:3s;ind:pas:3s;"
abrège;abréger;VER;"imp:pre:2s;ind:pre:1s;ind:pre:3s;"
abrègent;abréger;VER;"ind:pre:3p;"
abrégea;abréger;VER;"ind:pas:3s;"
abrégeai;abréger;VER;"ind:pas:1s;"
abrégeaient;abréger;VER;"ind:imp:3p;"
abrégeait;abréger;VER;"ind:imp:3s;"
abrégeant;abréger;VER;"par:pre;"
abrégeons;abréger;VER;"imp:pre:1p;"
abréger;abréger;VER;"inf;"
abrégera;abréger;VER;"ind:fut:3s;"
abrégerai;abréger;VER;"ind:fut:1s;"
abrégerait;abréger;VER;"cnd:pre:3s;"
abrégez;abréger;VER;"imp:pre:2p;"
abrégeât;abréger;VER;"sub:imp:3s;"
abrégé;abréger;VER;"par:pas;"
abrégée;abréger;VER;"par:pas;"
absenta;absenter;VER;"ind:pas:3s;"
absentai;absenter;VER;"ind:pas:1s;"
absentaient;absenter;VER;"ind:imp:3p;"
absentais;absenter;VER;"ind:imp:1s;ind:imp:2s;"
absentait;absenter;VER;"ind:imp:3s;"
absentant;absenter;VER;"par:pre;"
absente;absenter;VER;"ind:pre:1s;ind:pre:3s;sub:pre:3s;"
absenter;absenter;VER;"inf;"
absentera;absenter;VER;"ind:fut:3s;"
absenterai;absenter;VER;"ind:fut:1s;"
absenterait;absenter;VER;"cnd:pre:3s;"
absentes;absenter;VER;"ind:pre:2s;"
absentèrent;absenter;VER;"ind:pas:3p;"
absenté;absenter;VER;"par:pas;"
absentée;absenter;VER;"par:pas;"
absentés;absenter;VER;"par:pas;"
absinthant;absinther;VER;"par:pre;"
absolvaient;absoudre;VER;"ind:imp:3p;"
absolvait;absoudre;VER;"ind:imp:3s;"
absolve;absoudre;VER;"sub:pre:3s;"
absolvent;absoudre;VER;"ind:pre:3p;"
absolves;absoudre;VER;"sub:pre:2s;"
absorba;absorber;VER;"ind:pas:3s;"
absorbai;absorber;VER;"ind:pas:1s;"
absorbaient;absorber;VER;"ind:imp:3p;"
absorbais;absorber;VER;"ind:imp:1s;"
absorbait;absorber;VER;"ind:imp:3s;"
absorbant;absorber;VER;"par:pre;"
absorbe;absorber;VER;"imp:pre:2s;ind:pre:1s;ind:pre:3s;"
absorbent;absorber;VER;"ind:pre:3p;"
absorber;absorber;VER;"inf;"
absorbera;absorber;VER;"ind:fut:3s;"
absorberai;absorber;VER;"ind:fut:1s;"
absorberaient;absorber;VER;"cnd:pre:3p;"
absorberait;absorber;VER;"cnd:pre:3s;"
absorbez;absorber;VER;"imp:pre:2p;ind:pre:2p;"
absorbions;absorber;VER;"ind:imp:1p;"
absorbons;absorber;VER;"ind:pre:1p;"
absorbèrent;absorber;VER;"ind:pas:3p;"
absorbé;absorber;VER;"par:pas;"
absorbée;absorber;VER;"par:pas;"
absorbées;absorber;VER;"par:pas;"
absorbés;absorber;VER;"par:pas;"
absoudrai;absoudre;VER;"ind:fut:1s;"
absoudrait;absoudre;VER;"cnd:pre:3s;"
absoudre;absoudre;VER;"inf;"
absoudriez;absoudre;VER;"cnd:pre:2p;"
absous;absoudre;VER;"imp:pre:2s;ind:pre:1s;par:pas;par:pas;par:pas;"
absout;absoudre;VER;"ind:pre:3s;"
absoute;absoudre;VER;"par:pas;"
absoutes;absoudre;VER;"par:pas;"
abstenaient;abstenir;VER;"ind:imp:3p;"
abstenais;abstenir;VER;"ind:imp:1s;"
abstenait;abstenir;VER;"ind:imp:3s;"
abstenant;abstenir;VER;"par:pre;"
abstenez;abstenir;VER;"imp:pre:2p;ind:pre:2p;"
absteniez;abstenir;VER;"ind:imp:2p;"
abstenions;abstenir;VER;"ind:imp:1p;"
abstenir;abstenir;VER;"inf;"
abstenons;abstenir;VER;"imp:pre:1p;ind:pre:1p;"
abstenu;abstenir;VER;"par:pas;"
abstenue;abstenir;VER;"par:pas;"
abstenues;abstenir;VER;"par:pas;"
abstenus;abstenir;VER;"par:pas;"
abstiendrai;abstenir;VER;"ind:fut:1s;"
abstiendraient;abstenir;VER;"cnd:pre:3p;"
abstiendrais;abstenir;VER;"cnd:pre:1s;"
abstiendrait;abstenir;VER;"cnd:pre:3s;"
abstiendras;abstenir;VER;"ind:fut:2s;"
abstiendrions;abstenir;VER;"cnd:pre:1p;"
abstiendrons;abstenir;VER;"ind:fut:1p;"
abstiendront;abstenir;VER;"ind:fut:3p;"
abstienne;abstenir;VER;"sub:pre:1s;sub:pre:3s;"
abstiennent;abstenir;VER;"ind:pre:3p;"
abstiennes;abstenir;VER;"sub:pre:2s;"
abstiens;abstenir;VER;"imp:pre:2s;ind:pre:1s;ind:pre:2s;"
abstient;abstenir;VER;"ind:pre:3s;"
abstinrent;abstenir;VER;"ind:pas:3p;"
abstins;abstenir;VER;"ind:pas:1s;"
abstint;abstenir;VER;"ind:pas:3s;"
abstraire;abstraire;VER;"inf;"
abstrais;abstraire;VER;"ind:pre:1s;"
abstrait;abstraire;VER;"ind:pre:3s;par:pas;"
abstraite;abstraire;VER;"par:pas;"
abstraites;abstraire;VER;"par:pas;"
abstraits;abstraire;VER;"par:pas;"
abstînt;abstenir;VER;"sub:imp:3s;"
abusa;abuser;VER;"ind:pas:3s;"
abusai;abuser;VER;"ind:pas:1s;"
abusaient;abuser;VER;"ind:imp:3p;"
abusais;abuser;VER;"ind:imp:1s;"
abusait;abuser;VER;"ind:imp:3s;"
abusant;abuser;VER;"par:pre;"
abuse;abuser;VER;"imp:pre:2s;ind:pre:1s;ind:pre:3s;"
abusent;abuser;VER;"ind:pre:3p;"
abuser;abuser;VER;"inf;"
abusera;abuser;VER;"ind:fut:3s;"
abuserai;abuser;VER;"ind:fut:1s;"
abuserais;abuser;VER;"cnd:pre:1s;cnd:pre:2s;"
abuserait;abuser;VER;"cnd:pre:3s;"
abuserez;abuser;VER;"ind:fut:2p;"
abuseriez;abuser;VER;"cnd:pre:2p;"
abuses;abuser;VER;"ind:pre:2s;"
abusez;abuser;VER;"imp:pre:2p;ind:pre:2p;"
abusiez;abuser;VER;"ind:imp:2p;"
abusons;abuser;VER;"imp:pre:1p;ind:pre:1p;"
abusèrent;abuser;VER;"ind:pas:3p;"
abusé;abuser;VER;"par:pas;"
abusée;abuser;VER;"par:pas;"
abusées;abuser;VER;"par:pas;"
abusés;abuser;VER;"par:pas;"
abâtardi;abâtardir;VER;"par:pas;"
abâtardies;abâtardir;VER;"par:pas;"
abâtardir;abâtardir;VER;"inf;"
abâtardirai;abâtardir;VER;"ind:fut:1s;"
abâtardissant;abâtardir;VER;"par:pre;"
abêti;abêtir;VER;"par:pas;"
abêtir;abêtir;VER;"inf;"
abêtis;abêtir;VER;"ind:pre:2s;"
abêtissait;abêtir;VER;"ind:imp:3s;"
abêtit;abêtir;VER;"ind:pas:3s;"
abîma;abîmer;VER;"ind:pas:3s;"
abîmai;abîmer;VER;"ind:pas:1s;"
abîmaient;abîmer;VER;"ind:imp:3p;"
abîmait;abîmer;VER;"ind:imp:3s;"
abîmant;abîmer;VER;"par:pre;"
abîme;abîmer;VER;"imp:pre:2s;ind:pre:1s;ind:pre:3s;"
abîment;abîmer;VER;"ind:pre:3p;"
abîmer;abîmer;VER;"inf;"
abîmera;abîmer;VER;"ind:fut:3s;"
abîmerai;abîmer;VER;"ind:fut:1s;"
abîmerais;abîmer;VER;"cnd:pre:1s;cnd:pre:2s;"
abîmerait;abîmer;VER;"cnd:pre:3s;"
abîmeras;abîmer;VER;"ind:fut:2s;"
abîmerez;abîmer;VER;"ind:fut:2p;"
abîmeront;abîmer;VER;"ind:fut:3p;"
abîmes;abîmer;VER;"ind:pre:2s;"
abîmez;abîmer;VER;"imp:pre:2p;ind:pre:2p;"
abîmions;abîmer;VER;"ind:imp:1p;"
abîmons;abîmer;VER;"ind:pre:1p;"
abîmé;abîmer;VER;"par:pas;"
abîmée;abîmer;VER;"par:pas;"
abîmées;abîmer;VER;"par:pas;"
abîmés;abîmer;VER;"par:pas;"
académisé;académiser;VER;"par:pas;"
acagnardai;acagnarder;VER;"ind:pas:1s;"
acagnardait;acagnarder;VER;"ind:imp:3s;"
acagnarder;acagnarder;VER;"inf;"
acagnardé;acagnarder;VER;"par:pas;"
acagnardée;acagnarder;VER;"par:pas;"
accabla;accabler;VER;"ind:pas:3s;"
accablai;accabler;VER;"ind:pas:1s;"
accablaient;accabler;VER;"ind:imp:3p;"
accablais;accabler;VER;"ind:imp:1s;"
accablait;accabler;VER;"ind:imp:3s;"
accablant;accabler;VER;"par:pre;"
accable;accabler;VER;"imp:pre:2s;ind:pre:1s;ind:pre:3s;"
accablent;accabler;VER;"ind:pre:3p;"
accabler;accabler;VER;"inf;"
accableraient;accabler;VER;"cnd:pre:3p;"
accablez;accabler;VER;"imp:pre:2p;ind:pre:2p;"
accablions;accabler;VER;"ind:imp:1p;"
accablât;accabler;VER;"sub:imp:3s;"
accablèrent;accabler;VER;"ind:pas:3p;"
accablé;accabler;VER;"par:pas;"
accablée;accabler;VER;"par:pas;"
accablées;accabler;VER;"par:pas;"
accablés;accabler;VER;"par:pas;"
accalmit;accalmir;VER;"ind:pas:3s;"
accapara;accaparer;VER;"ind:pas:3s;"
accaparaient;accaparer;VER;"ind:imp:3p;"
accaparait;accaparer;VER;"ind:imp:3s;"
accaparant;accaparer;VER;"par:pre;"
accapare;accaparer;VER;"imp:pre:2s;ind:pre:1s;ind:pre:3s;"
accaparer;accaparer;VER;"inf;"
accaparerait;accaparer;VER;"cnd:pre:3s;"
accaparez;accaparer;VER;"ind:pre:2p;"
accaparé;accaparer;VER;"par:pas;"
accaparée;accaparer;VER;"par:pas;"
accaparées;accaparer;VER;"par:pas;"
accaparés;accaparer;VER;"par:pas;"
accentua;accentuer;VER;"ind:pas:3s;"
accentuai;accentuer;VER;"ind:pas:1s;"
accentuaient;accentuer;VER;"ind:imp:3p;"
accentuais;accentuer;VER;"ind:imp:1s;"
accentuait;accentuer;VER;"ind:imp:3s;"
accentuant;accentuer;VER;"par:pre;"
accentue;accentuer;VER;"imp:pre:2s;ind:pre:1s;ind:pre:3s;"
accentuent;accentuer;VER;"ind:pre:3p;"
accentuer;accentuer;VER;"inf;"
accentuerait;accentuer;VER;"cnd:pre:3s;"
accentuez;accentuer;VER;"imp:pre:2p;ind:pre:2p;"
accentuât;accentuer;VER;"sub:imp:3s;"
accentuèrent;accentuer;VER;"ind:pas:3p;"
accentué;accentuer;VER;"par:pas;"
accentuée;accentuer;VER;"par:pas;"
accentuées;accentuer;VER;"par:pas;"
accentués;accentuer;VER;"par:pas;"
accepta;accepter;VER;"ind:pas:3s;"
acceptai;accepter;VER;"ind:pas:1s;"
acceptaient;accepter;VER;"ind:imp:3p;"
acceptais;accepter;VER;"ind:imp:1s;ind:imp:2s;"
acceptait;accepter;VER;"ind:imp:3s;"
acceptant;accepter;VER;"par:pre;"
acceptassent;accepter;VER;"sub:imp:3p;"
acceptasses;accepter;VER;"sub:imp:2s;"
accepte;accepter;VER;"imp:pre:2s;ind:pre:1s;ind:pre:3s;sub:pre:1s;sub:pre:3s;"
acceptent;accepter;VER;"ind:pre:3p;"
accepter;accepter;VER;"inf;"
acceptera;accepter;VER;"ind:fut:3s;"
accepterai;accepter;VER;"ind:fut:1s;"
accepteraient;accepter;VER;"cnd:pre:3p;"
accepterais;accepter;VER;"cnd:pre:1s;cnd:pre:2s;"
accepterait;accepter;VER;"cnd:pre:3s;"
accepteras;accepter;VER;"ind:fut:2s;"
accepterez;accepter;VER;"ind:fut:2p;"
accepteriez;accepter;VER;"cnd:pre:2p;"
accepterions;accepter;VER;"cnd:pre:1p;"
accepterons;accepter;VER;"ind:fut:1p;"
accepteront;accepter;VER;"ind:fut:3p;"
acceptes;accepter;VER;"ind:pre:2s;"
acceptez;accepter;VER;"imp:pre:2p;ind:pre:2p;"
acceptiez;accepter;VER;"ind:imp:2p;"
acceptions;accepter;VER;"ind:imp:1p;"
acceptons;accepter;VER;"imp:pre:1p;ind:pre:1p;"
acceptâmes;accepter;VER;"ind:pas:1p;"
acceptât;accepter;VER;"sub:imp:3s;"
acceptèrent;accepter;VER;"ind:pas:3p;"
accepté;accepter;VER;"par:pas;"
acceptée;accepter;VER;"par:pas;"
acceptées;accepter;VER;"par:pas;"
acceptés;accepter;VER;"par:pas;"
accessoirise;accessoiriser;VER;"ind:pre:1s;"
accessoiriser;accessoiriser;VER;"inf;"
accidente;accidenter;VER;"ind:pre:3s;"
accidenter;accidenter;VER;"inf;"
accidenté;accidenter;VER;"par:pas;"
accidentée;accidenter;VER;"par:pas;"
acclama;acclamer;VER;"ind:pas:3s;"
acclamaient;acclamer;VER;"ind:imp:3p;"
acclamait;acclamer;VER;"ind:imp:3s;"
acclamant;acclamer;VER;"par:pre;"
